subjid,group,food,taste_rating,health_rating
sub-FCT002,HC,1%milk.jpg,3.0,4.0
sub-FCT002,HC,Skim milk.jpg,4.0,4.0
sub-FCT002,HC,rice cakes.jpg,3.0,3.0
sub-FCT002,HC,mushrooms.jpg,2.0,5.0
sub-FCT002,HC,burger.jpg,4.0,3.0
sub-FCT002,HC,peaches.jpg,3.0,5.0
sub-FCT002,HC,kiwi.jpg,3.0,5.0
sub-FCT002,HC,sushi w_condiments.jpg,4.0,3.0
sub-FCT002,HC,cherries.jpg,3.0,5.0
sub-FCT002,HC,baked potato.jpg,3.0,2.0
sub-FCT002,HC,grilled cheese.jpg,5.0,2.0
sub-FCT002,HC,granola w milk.jpg,4.0,4.0
sub-FCT002,HC,baby cheese.jpg,4.0,3.0
sub-FCT002,HC,m_and_m.jpg,4.0,1.0
sub-FCT002,HC,baguette oil.jpg,4.0,2.0
sub-FCT002,HC,orange slices.jpg,4.0,5.0
sub-FCT002,HC,string cheese.jpg,3.0,3.0
sub-FCT003,HC,reeses.jpg,,1.0
sub-FCT003,HC,american cheese.jpg,5.0,2.0
sub-FCT003,HC,rigatoni and sauce.jpg,4.0,2.0
sub-FCT003,HC,cucumber slices.jpg,3.0,5.0
sub-FCT003,HC,mashed potato.jpg,5.0,2.0
sub-FCT003,HC,Grapes.jpg,5.0,5.0
sub-FCT003,HC,cookies.jpg,4.0,1.0
sub-FCT003,HC,Hershey Kisses.jpg,3.0,1.0
sub-FCT003,HC,apple slices.jpg,4.0,5.0
sub-FCT003,HC,chicken nuggets2.jpg,3.0,1.0
sub-FCT003,HC,granola w milk.jpg,3.0,4.0
sub-FCT003,HC,ritz.jpg,3.0,3.0
sub-FCT003,HC,mushrooms.jpg,2.0,5.0
sub-FCT003,HC,lollipops.jpg,2.0,1.0
sub-FCT003,HC,cherries.jpg,4.0,5.0
sub-FCT003,HC,raisins.jpg,3.0,5.0
sub-FCT003,HC,eggs.jpg,4.0,5.0
sub-FCT003,HC,yogurt pretzels.jpg,5.0,1.0
sub-FCT003,HC,pickles.jpg,5.0,4.0
sub-FCT003,HC,Cheese nachos.jpg,5.0,1.0
sub-FCT003,HC,corn cob.jpg,5.0,3.0
sub-FCT003,HC,hotdog w must.jpg,4.0,1.0
sub-FCT003,HC,yellow popcorn.jpg,4.0,2.0
sub-FCT003,HC,celery and carrot sticks.jpg,3.0,5.0
sub-FCT003,HC,rigatoni.jpg,3.0,3.0
sub-FCT003,HC,baguette oil.jpg,3.0,1.0
sub-FCT003,HC,pizza.jpg,5.0,1.0
sub-FCT003,HC,banana.jpg,5.0,5.0
sub-FCT003,HC,mini muffins.jpg,3.0,2.0
sub-FCT003,HC,mozarella sticks.jpg,5.0,1.0
sub-FCT003,HC,rice cakes.jpg,4.0,3.0
sub-FCT003,HC,bagel and cc.jpg,3.0,3.0
sub-FCT003,HC,saltines.jpg,3.0,3.0
sub-FCT003,HC,strawberries.jpg,5.0,5.0
sub-FCT003,HC,raisin bran w milk.jpg,3.0,4.0
sub-FCT003,HC,ice cream sundae 002.jpg,4.0,1.0
sub-FCT003,HC,turkey sandwich.jpg,4.0,4.0
sub-FCT003,HC,trail mix.jpg,4.0,4.0
sub-FCT003,HC,brownie.jpg,4.0,1.0
sub-FCT003,HC,french fries.jpg,5.0,1.0
sub-FCT003,HC,kiwi.jpg,5.0,5.0
sub-FCT003,HC,grilled cheese.jpg,4.0,2.0
sub-FCT003,HC,salad w chicken.jpg,5.0,5.0
sub-FCT003,HC,fried eggs.jpg,3.0,4.0
sub-FCT003,HC,cherry tomato.jpg,3.0,5.0
sub-FCT003,HC,string cheese.jpg,4.0,2.0
sub-FCT003,HC,yogurt no spoon.jpg,5.0,4.0
sub-FCT003,HC,broccoli cauliflower.jpg,3.0,5.0
sub-FCT003,HC,Skim milk.jpg,3.0,4.0
sub-FCT003,HC,orange slices.jpg,5.0,5.0
sub-FCT003,HC,Pretzels.jpg,4.0,3.0
sub-FCT003,HC,green beans.jpg,3.0,5.0
sub-FCT003,HC,grilled chicken strips.jpg,5.0,5.0
sub-FCT003,HC,baby cheese.jpg,3.0,2.0
sub-FCT003,HC,steak.jpg,4.0,4.0
sub-FCT003,HC,sour patch.jpg,5.0,1.0
sub-FCT003,HC,cupcakes am.jpg,4.0,1.0
sub-FCT003,HC,soy chips.jpg,5.0,4.0
sub-FCT003,HC,baked potato.jpg,4.0,2.0
sub-FCT003,HC,1%milk.jpg,3.0,4.0
sub-FCT003,HC,soup with spoon.jpg,4.0,4.0
sub-FCT003,HC,Whole milk.jpg,3.0,4.0
sub-FCT003,HC,doughnuts.jpg,4.0,
sub-FCT003,HC,m_and_m.jpg,4.0,1.0
sub-FCT003,HC,peaches.jpg,5.0,5.0
sub-FCT003,HC,air popcorn.jpg,5.0,3.0
sub-FCT003,HC,froot loops w milk.jpg,5.0,2.0
sub-FCT003,HC,avacado.jpg,5.0,5.0
sub-FCT003,HC,bagel plain.jpg,3.0,3.0
sub-FCT003,HC,seaweed.jpg,3.0,5.0
sub-FCT003,HC,burger.jpg,4.0,1.0
sub-FCT003,HC,tacos.jpg,5.0,3.0
sub-FCT003,HC,mac & cheese.jpg,5.0,1.0
sub-FCT003,HC,PB.jpg,4.0,3.0
sub-FCT003,HC,Tribe humus pita.jpg,4.0,3.0
sub-FCT003,HC,sushi w_condiments.jpg,5.0,5.0
sub-FCT004,HC,orange slices.jpg,5.0,5.0
sub-FCT004,HC,Grapes.jpg,5.0,5.0
sub-FCT004,HC,baguette oil.jpg,5.0,2.0
sub-FCT004,HC,doughnuts.jpg,5.0,1.0
sub-FCT004,HC,burger.jpg,1.0,1.0
sub-FCT004,HC,mac & cheese.jpg,5.0,2.0
sub-FCT004,HC,cucumber slices.jpg,5.0,5.0
sub-FCT004,HC,turkey sandwich.jpg,5.0,5.0
sub-FCT004,HC,mushrooms.jpg,5.0,5.0
sub-FCT004,HC,raisins.jpg,1.0,5.0
sub-FCT004,HC,froot loops w milk.jpg,5.0,4.0
sub-FCT004,HC,grilled chicken strips.jpg,5.0,5.0
sub-FCT004,HC,kiwi.jpg,3.0,5.0
sub-FCT004,HC,PB.jpg,3.0,4.0
