subjid,group,ref_food,alt_food,choice_rating
sub-FCT002,HC,string cheese.jpg,tacos.jpg,4
sub-FCT002,HC,string cheese.jpg,air popcorn.jpg,2
sub-FCT002,HC,string cheese.jpg,bagel plain.jpg,2
sub-FCT002,HC,string cheese.jpg,cherry tomato.jpg,4
sub-FCT002,HC,string cheese.jpg,chicken nuggets2.jpg,4
sub-FCT002,HC,string cheese.jpg,pizza.jpg,5
sub-FCT002,HC,string cheese.jpg,Cheese nachos.jpg,2
sub-FCT002,HC,string cheese.jpg,french fries.jpg,4
sub-FCT002,HC,string cheese.jpg,soup with spoon.jpg,2
sub-FCT002,HC,string cheese.jpg,reeses.jpg,5
sub-FCT002,HC,string cheese.jpg,baby cheese.jpg,4
sub-FCT002,HC,string cheese.jpg,raisins.jpg,2
sub-FCT002,HC,string cheese.jpg,rigatoni.jpg,2
sub-FCT002,HC,string cheese.jpg,eggs.jpg,2
sub-FCT002,HC,string cheese.jpg,green beans.jpg,4
sub-FCT002,HC,string cheese.jpg,hotdog w must.jpg,4
sub-FCT002,HC,string cheese.jpg,saltines.jpg,2
sub-FCT002,HC,string cheese.jpg,granola w milk.jpg,4
sub-FCT002,HC,string cheese.jpg,mac & cheese.jpg,5
sub-FCT002,HC,string cheese.jpg,lollipops.jpg,2
sub-FCT002,HC,string cheese.jpg,cucumber slices.jpg,2
sub-FCT002,HC,string cheese.jpg,Pretzels.jpg,5
sub-FCT002,HC,string cheese.jpg,bagel and cc.jpg,4
sub-FCT002,HC,string cheese.jpg,cherries.jpg,2
sub-FCT002,HC,string cheese.jpg,Grapes.jpg,4
sub-FCT002,HC,string cheese.jpg,burger.jpg,5
sub-FCT002,HC,string cheese.jpg,baguette oil.jpg,4
sub-FCT002,HC,string cheese.jpg,ritz.jpg,2
sub-FCT002,HC,string cheese.jpg,yellow popcorn.jpg,2
sub-FCT002,HC,string cheese.jpg,froot loops w milk.jpg,2
sub-FCT002,HC,string cheese.jpg,cupcakes am.jpg,4
sub-FCT002,HC,string cheese.jpg,broccoli cauliflower.jpg,2
sub-FCT002,HC,string cheese.jpg,ice cream sundae 002.jpg,4
sub-FCT002,HC,string cheese.jpg,seaweed.jpg,4
sub-FCT002,HC,string cheese.jpg,Skim milk.jpg,4
sub-FCT002,HC,string cheese.jpg,avacado.jpg,2
